post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,v_fisica,v_financeira,ativos
369,ARRI11,0.1100,1.2600,1.2767,3.8300,1.2267,7.3600,1.2775,15.3300,5.6763,-0.0650,7.0079,8.7500,5.9600,2023,1.4286,9.1000,-2.1505,111235062.2700,-88.8723,-0.7527,4.1301,1.3767,8.1044,1.3507,,,Papéis,papeis,8.74,243102.03,116735169.45,0.9776,0.9604395604395605,ARRI11,,,0
1737,ASMT11,0.7700,1.1100,1.0600,3.1800,1.0283,6.1700,0.9583,11.5000,-5.5041,-4.4552,-4.4552,69.3600,1.1100,2023,,,,,,,,,,,,,Lajes Corporativas,lajes-corporativas,49.99,33425,84197799.68,0.604,,ASMT11,,,3
393,ATSA11,0.0500,0.0000,0.0433,0.1300,0.0317,0.1900,0.0825,0.9900,0.0000,,0.0000,,0.0700,2023,0.0553,90.4800,0.1671,158451008.6300,0.8329,0.2224,0.1660,0.0553,,,,,Shoppings,shoppings,66.11,611.57,143322471.71,0.8077,0.7306587091069849,ATSA11,,,1
63,AURB11,0.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2023,,,,,,,,,,,,,Imóveis Comerciais - Outros,imoveis-comerciais-outros,0,,77405382.16,0,,AURB11,,,2
150,BARI11,0.9350,1.1000,1.1300,3.3900,1.0800,6.4800,1.1225,13.4700,9.0173,2.2800,10.2165,84.8700,5.4500,2023,0.9033,99.6300,-0.7026,461681838.3200,8.1827,0.1944,2.8906,0.9635,6.5626,1.0938,,,Papéis,papeis,84.04,772663.76,447259333.51,0.8708,0.8435210278028707,BARI11,,,0
168,BBFI11B,3.8272,0.2200,1.3267,3.9800,1.3233,7.9400,1.3658,16.3900,23.0568,-5.2281,23.3275,1756.0200,6.5700,2023,0.9348,2854.8000,0.1235,371124002.9500,6.0552,1.0594,2.8005,0.9335,,,,,Lajes Corporativas,lajes-corporativas,1168.99,485075.42,279181371.38,0.5443,0.409482275465882,BBFI11B,,,3
354,BBFO11,0.6900,1.0000,1.0567,3.1700,1.0667,6.4000,1.0392,12.4700,6.5116,8.5133,7.5767,68.7000,5.4400,2023,0.7285,82.3600,-4.1888,329780504.0600,4.7462,-3.4908,2.2556,0.7519,5.2456,0.8743,,,Fundo de Fundos,fundo-de-fundos,71.39,200308.55,317893428.8,0.8991,0.8668042739193783,BBFO11,,,0
539,BBGO11,0.9000,1.0500,1.2800,3.8400,1.1933,7.1600,1.0775,12.9300,7.2887,10.9742,8.4152,85.6700,6.0100,2023,1.0407,98.0100,0.0756,392550389.6300,9.3115,1.1171,3.2834,1.0945,5.6157,0.9360,8.6064,0.8606,Indefinido,indefinido,86.4,501713.34,392550389.63,0.8428,0.8815426997245179,BBGO11,,,0
339,BBIM11,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2023,1.4163,30.3600,-2.3783,31417779.1700,-30.3111,-0.9957,4.4643,1.4881,5.8634,0.9772,,,Papéis,papeis,0,,31830126.34,0,,BBIM11,,,0
145,BBPO11,0.9000,0.9700,1.0200,3.0600,1.0433,6.2600,1.0458,12.5500,6.0720,14.2287,7.1009,92.7600,5.1800,2023,0.9166,100.3700,0.0649,1597919446.8300,15.8471,0.9821,2.7520,0.9173,5.4791,0.9132,,,Agências de Bancos,agencias-de-bancos,96.95,1253480.29,1607257718.79,0.9603,0.9659260735279466,BBPO11,,,63
